REF						app/layout.tsx	8	app/layout.tsx::program:RootLayout	METHOD	function RootLayout({ children }: { children: React.ReactNode }) {   return (     <html lang="en">       <body>         	
REF						app/layout.tsx	1	app/layout.tsx::program	METHOD	:program	
REF						app/page.tsx	6	app/page.tsx::program:Page	METHOD	function Page({ ok }: { ok: boolean }) {   const state = ok ? "done" : "pending";   return (     <div className={styles.	
REF						app/page.tsx	1	app/page.tsx::program	METHOD	:program	
REF						app/ui/Navbar.tsx	1	app/ui/Navbar.tsx::program:Navbar	METHOD	function Navbar() {   return <nav>eval</nav>; }	
REF						app/ui/Navbar.tsx	1	app/ui/Navbar.tsx::program	METHOD	:program	
REF						lib/helpers.ts	1	lib/helpers.ts::program:formatTitle	METHOD	function formatTitle(name: string) {   return name.toUpperCase(); }	
REF						lib/helpers.ts	5	lib/helpers.ts::program:neverCalled	METHOD	function neverCalled(name: string) {   return name.toLowerCase(); }	
REF						lib/helpers.ts	1	lib/helpers.ts::program	METHOD	:program	
AST	app/layout.tsx		app/layout.tsx::program	BLOCK	<empty>	app/layout.tsx	1	app/layout.tsx::program	LOCAL	Metadata	
AST	app/layout.tsx		app/layout.tsx::program	BLOCK	<empty>	app/layout.tsx	2	app/layout.tsx::program	LOCAL	Navbar	
AST	app/layout.tsx		app/layout.tsx::program	BLOCK	<empty>	app/layout.tsx	4	app/layout.tsx::program	LOCAL	metadata	
AST	app/layout.tsx		app/layout.tsx::program	BLOCK	<empty>	app/layout.tsx	8	app/layout.tsx::program	LOCAL	RootLayout	
AST	app/layout.tsx		app/layout.tsx::program	BLOCK	<empty>	app/layout.tsx	1	app/layout.tsx::program	CALL	var Metadata = require("next").Metadata	
AST	app/layout.tsx		app/layout.tsx::program	BLOCK	<empty>	app/layout.tsx	2	app/layout.tsx::program	CALL	var Navbar = require("./ui/Navbar")	
AST	app/layout.tsx		app/layout.tsx::program	BLOCK	<empty>	app/layout.tsx	4	app/layout.tsx::program	BLOCK	export const metadata: Metadata = {   title: "Eval project", };	
